image,Pap. Center x,Pap. Center y,vessel orig. x,vessel orig. y,disk diameter
01_dr,860,1180,771,1193,385
01_g,2715,1070,2773,1096,365
01_h,2648,1155,2694,1178,402
02_dr,2759,965,2808,1168,369
02_g,873,1107,828,1128,372
02_h,988,1085,907,1086,416
03_dr,900,1050,887,1055,376
03_g,2647,1176,2718,1152,430
03_h,2703,1153,2726,1180,424
04_dr,2768,1278,2789,1283,368
04_g,990,1094,946,1095,393
04_h,966,1122,939,1125,414
05_dr,984,1160,928,1173,331
05_g,2748,1074,2812,1086,374
05_h,2684,1074,2764,1119,426
06_dr,2638,1108,2681,1080,368
06_g,941,1159,887,1169,391
06_h,933,1116,871,1138,373
07_dr,888,1078,867,1077,394
07_g,2746,1048,2775,1045,385
07_h,2798,1159,2879,1142,408
08_dr,2695,1144,2723,1157,364
08_g,934,1178,942,1195,384
08_h,880,1055,810,1057,398
09_dr,2584,1280,2593,1274,335
09_g,930,1115,918,1134,358
09_h,2812,1076,2868,1094,400
10_dr,990,1199,949,1234,341
10_g,2633,1171,2700,1193,368
10_h,883,1128,850,1160,384
11_dr,2764,1225,2806,1232,360
11_g,2644,1072,2667,1079,408
11_h,2909,1124,2976,1146,385
12_dr,901,978,905,956,324
12_g,1033,1065,1035,1081,379
12_h,997,986,910,984,374
13_dr,2688,1269,2749,1289,309
13_g,2709,1141,2799,1158,335
13_h,2708,1098,2770,1115,360
14_dr,866,1133,845,1140,347
14_g,958,1129,887,1129,331
14_h,918,1078,861,1116,352
15_dr,2776,1121,2821,1119,356
15_g,2649,1145,2665,1119,402
15_h,2701,1118,2778,1133,354
